"name","type","winegroup","country","size","method","grapes","percentages","link","","","","","","","","","","","","","","","","","","","",""
"Champagne","wine","Champagne","France","400","traditional","chardonnay, pinot noir, pinot meunier","","","","","","","","","","","","","","","","","","","","","",""
"Samur","wine","Loire Valley","France","11.25","traditional","chenin blanc, chardonnay, cabernet franc, cabernet sauvignon, pineau d'aunis, groellau, sauvignon blanc","","","","","","","","","","","","","","","","","","","","","",""
"Vouvray","wine","Loire Valley","France","8.75","traditional","chenin blanc","","","","","","","","","","","","","","","","","","","","","",""
"Montlouis","wine","Loire Valley","France","1","traditional","chenin blanc","","","","","","","","","","","","","","","","","","","","","",""
"Cremant de Loire","wine","Loire Valley","France","12.5","traditional","chenin blanc, chardonnay, cabernet franc, cabernet sauvignon, pineau d'aunis","","","","","","","","","","","","","","","","","","","","","",""
"Cremant d'Alsace","wine","Alsace","France","35.5","traditional","pinot noir, riesling, pinot blanc, pint gris, chardonnay","","","","","","","","","","","","","","","","","","","","","",""
"Cremant de Bourgogne","wine","Burgundy","France","18","traditional","pinot noir, chardonnay","","","","","","","","","","","","","","","","","","","","","",""
"Cremant de Bordeaux","wine","Bordeaux","France","3","traditional","cabernet franc, cabernet souvignon, camenere, merlot, petit verdot, muscadelle, souvignon blanc, semillon","","","","","","","","","","","","","","","","","","","","","",""
"Cremant de Limoux","wine","Limoux","France","3","traditional","chardonnay, chenin blanc","","","","","","","","","","","","","","","","","","","","","",""
"Blanquette de Limoux","wine","Limoux","France","2","traditional","mauzac, chenin blanc, chardonnay","90","","","","","","","","","","","","","","","","","","","","",""
"Blanquette de Limous methode ancestrale","wine","Limoux","France","0.75","single fermentation","mauzac","","","","","","","","","","","","","","","","","","","","","",""
"Cremant de Die","wine","Die","France","0.4","traditional","clairette, aligote, muscat","","","","","","","","","","","","","","","","","","","","","",""
"Clairette de Die","wine","Die","France","0.2","transfer","clairette","","","","","","","","","","","","","","","","","","","","","",""
"Clairette de Die methode dioise ancestrale","wine","Die","France","0.8","single fermentation","muscat, clairette","","","","","","","","","","","","","","","","","","","","","",""
"Cremant du Jura","wine","Jura","France","3","transfer","clairette","","","","","","","","","","","","","","","","","","","","","",""
"Prosecco DOC","wine","Prosecco","Italy","220","tank","glera","","","","","","","","","","","","","","","","","","","","","",""
"Cartizze","wine","Prosecco","Italy","0.2","tank","glera","","","","","","","","","","","","","","","","","","","","","",""
"Conegniano e Valdobbiadene DOCG","wine","Prosecco","Italy","70","tank","glera","","","","","","","","","","","","","","","","","","","","","",""
"Asolo DOCG","wine","Prosecco","Italy","1.2","tank","glera","","","","","","","","","","","","","","","","","","","","","",""
"Franciacorta","wine","Franciacorta","Italy","14.5","traditional","chardonnay, pinot noir, pinot blanc","","","","","","","","","","","","","","","","","","","","","",""
"Asti DOCG","wine","Asti","Italy","80","traditional","muscat","","","","","","","","","","","","","","","","","","","","","",""
"Sorbara","wine","Lambrusco","Italy","7.5","tank","lambrusco","","","","","","","","","","","","","","","","","","","","","",""
"Salamino di Santa Croce","wine","Lambrusco","Italy","9.5","tank","lambrusco","","http://italianwinecentral.com/denomination/lambrusco-salamino-di-santa-croce-doc/","","","","","","","","","","","","","","","","","","","",""
"Grasparossa di Castelvetro","wine","Lambrusco","Italy","8.1","tank","lambrusco","","","","","","","","","","","","","","","","","","","","","",""
"Modena","wine","Lambrusco","Italy","14.2","tank","lambrusco","","","","","","","","","","","","","","","","","","","","","",""
"Cava","wine","Cava","Spain","240","traditional","macabeo, xarelo, parellada, chardonnay, pinot noir","","","","","","","","","","","","","","","","","","","","","",""
"Sket","wine","Sket","Germany","300","tank","","","","","","","","","","","","","","","","","","","","","","",""
"Deutscher Sekt","wine","Sket","Germany","100","tank","","","","","","","","","","","","","","","","","","","","","","",""
"Winzersekt","wine","Sket","Germany","40","traditional","riesling","","","","","","","","","","","","","","","","","","","","","",""
"Carneros","wine","California","USA","1","traditional","chardonnay, pinot noir","","","","","","","","","","","","","","","","","","","","","",""
"Russian River","wine","California","USA","1","traditional","chardonnay, pinot noir","","","","","","","","","","","","","","","","","","","","","",""
"Anderson Valley","wine","California","USA","1","traditional","chardonnay, pinot noir","","","","","","","","","","","","","","","","","","","","","",""
"Columbia Valley","wine","Washington State","USA","1","","chardonnay, riesling, pinot noir","","","","","","","","","","","","","","","","","","","","","",""
"Willamette Valley","wine","Oregon","USA","1","","chardonnay, pinot noir, pinot gris, muscat, riesling","","","","","","","","","","","","","","","","","","","","","",""
"Australia","wine","Australia","Australia","27","","chardonnay, pinot noir, pinot gris, muscat, riesling","","","","","","","","","","","","","","","","","","","","","",""
"Chile","wine","Chile","Chile","4","","chardonnay, pinot noir, souvignon blanc","","","","","","","","","","","","","","","","","","","","","",""
"New Zealand","wine","New Zealand","New Zealand","20","","chardonnay, pinot noir, souvignon blanc","","","","","","","","","","","","","","","","","","","","","",""